Time Stamp,T_comp1_dis (K),T_comp2_dis (K),P_cond (Pa),P_evap (Pa),T_comp_suc (K),target_eta,target_eta2,h_comp_suc (j/kg),h_comp1_dis (j/kg),h_comp2_dis (j/kg),h_isen (j/kg),eta_isentropic_1,eta_isentropic_2,eta1_condition,eta2_condition,comp1_mech_power,comp2_mech_power,m_comp1,m_comp2,m_total,T_evap_ex (K),T_subcooling (K),h_evap_ex (j/kg),h_evap_in (j/kg),cooling_load (KW),Total_electric_power (KW),COP
2024-07-27 10:35:00,321.0,278.0,1855000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:35:00,328.0,327.5,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.7980901025176,0.9453187599953398,True,True,0.0,0.0,0.0,0.0,0.0,297.65,304.25,444217.38342491904,430117.3655249369,0.0,0.0,0.0
2024-07-27 10:35:00,324.5,326.0,1904999.9999999998,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.103447651092199,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,301.95,304.0,447967.0429426139,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:36:00,335.0,329.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.0966416241869863,2.1156517025579875,True,True,0.0,0.0,0.0,0.0,0.0,296.9,304.0,444302.35157011036,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:36:00,321.0,278.0,1855000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:36:00,328.0,327.5,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.7980901025176,0.9453187599953398,True,True,0.0,0.0,0.0,0.0,0.0,297.76666666666665,304.25,444336.1466311496,430117.3655249369,0.0,0.0,0.0
2024-07-27 10:36:00,324.5,326.0,1904999.9999999998,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.103447651092199,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,301.9666666666667,304.0,447983.9247328138,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:38:00,335.0,329.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.0966416241869863,2.1156517025579875,True,True,0.0,0.0,0.0,0.0,0.0,297.0,304.0,444403.0764328724,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:38:00,321.0,278.0,1855000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:38:00,328.0,327.5,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.7980901025176,0.9453187599953398,True,True,0.0,0.0,0.0,0.0,0.0,297.725,304.25,444293.73704932764,430117.3655249369,0.0,0.0,0.0
2024-07-27 10:38:00,324.5,326.0,1904999.9999999998,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.103447651092199,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:39:00,335.0,329.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.0966416241869863,2.1156517025579875,True,True,0.0,0.0,0.0,0.0,0.0,297.15,304.0,444554.0992812091,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:39:00,321.0,278.0,1855000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:39:00,328.0,327.5,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.7980901025176,0.9453187599953398,True,True,0.0,0.0,0.0,0.0,0.0,297.8,304.25,444370.0696315432,430117.3655249369,0.0,0.0,0.0
2024-07-27 10:39:00,324.5,326.0,1904999.9999999998,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.103447651092199,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,301.9,304.0,447916.3922560686,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:40:00,334.0,328.6666666666667,1863333.3333333333,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.15230207805536,2.217146820809891,True,True,0.0,0.0,0.0,0.0,0.0,297.3,304.0,444705.04541955126,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:40:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045000000000000005,0.0
2024-07-27 10:40:00,327.0,327.0,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.9100672648456494,1.2070776564681738,True,True,0.0,0.0,0.0,0.0,0.0,297.875,305.0,444446.3812666797,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:40:00,324.0,326.0,1896666.6666666665,949999.9999999999,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,302.025,304.0,448043.0040385612,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:42:00,334.0,328.6666666666667,1863333.3333333333,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.15230207805536,2.217146820809891,True,True,0.0,0.0,0.0,0.0,0.0,297.43333333333334,304.0,444839.1559298175,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:42:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3333333333333,304.0,446325.1644167258,429755.6433147915,0.0,0.045000000000000005,0.0
2024-07-27 10:42:00,327.0,327.0,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.9100672648456494,1.2070776564681738,True,True,0.0,0.0,0.0,0.0,0.0,297.8333333333333,305.0,444403.988494248,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:42:00,324.0,326.0,1896666.6666666665,949999.9999999999,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,301.93333333333334,304.0,447950.1602670072,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:43:00,334.0,328.6666666666667,1863333.3333333333,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.15230207805536,2.217146820809891,True,True,0.0,0.0,0.0,0.0,0.0,297.65,304.0,444217.38342491904,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:43:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045000000000000005,0.0
2024-07-27 10:43:00,327.0,327.0,1880000.0,1190000.0,304.0,0.75,0,451379.09561826853,461265.1152050231,461265.1152050231,458793.61030833446,0.9100672648456494,1.2070776564681738,True,True,0.0,0.0,0.0,0.0,0.0,298.0,305.0,444573.5210330473,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:43:00,324.0,326.0,1896666.6666666665,949999.9999999999,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,3.7698567917194503,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:45:00,333.75,328.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.1734005430734642,2.1890446028772432,True,True,0.0,0.0,0.0,0.0,0.0,297.75,305.0,444319.18357671425,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:45:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.375,304.5,446367.5923137596,430477.40837859886,0.0,0.045,0.0
2024-07-27 10:45:00,327.0,327.0,1904999.9999999998,1190000.0,304.25,0.75,0,451625.89060031873,461182.85021100636,461182.85021100636,458793.61030833446,0.9072579275493541,1.215745905265902,True,True,0.0,0.0,0.0,0.0,0.0,298.1,305.0,444675.1914338385,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:45:00,324.0,325.0,1880000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,4.4509879499593294,True,True,0.0,0.0,0.0,0.0,0.0,302.025,304.0,448043.0040385612,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:46:00,333.75,328.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.1734005430734642,2.1890446028772432,True,True,0.0,0.0,0.0,0.0,0.0,297.8,305.0,444370.0696315432,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:46:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.4,304.5,446393.04613412154,430477.40837859886,0.0,0.045,0.0
2024-07-27 10:46:00,327.0,327.0,1904999.9999999998,1190000.0,304.25,0.75,0,451625.89060031873,461182.85021100636,461182.85021100636,458793.61030833446,0.9072579275493541,1.215745905265902,True,True,0.0,0.0,0.0,0.0,0.0,298.1,305.0,444675.1914338385,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:46:00,324.0,325.0,1880000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,4.4509879499593294,True,True,0.0,0.0,0.0,0.0,0.0,301.9,304.0,447916.3922560686,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:47:00,333.75,328.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.1734005430734642,2.1890446028772432,True,True,0.0,0.0,0.0,0.0,0.0,297.8333333333333,305.0,444403.988494248,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:47:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.4,304.5,446393.04613412154,430477.40837859886,0.0,0.045,0.0
2024-07-27 10:47:00,327.0,327.0,1904999.9999999998,1190000.0,304.25,0.75,0,451625.89060031873,461182.85021100636,461182.85021100636,458793.61030833446,0.9072579275493541,1.215745905265902,True,True,0.0,0.0,0.0,0.0,0.0,298.1666666666667,305.0,444742.9513701502,429365.9434484627,0.0,0.0,0.0
